AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
9.77,0.2,-0.79,0.31,0.01,-0.02
9.82,0.62,-0.95,0.35,-0.0,-0.02
9.77,0.6,-1.2,0.38,0.02,-0.03
9.7,0.6,-1.85,0.42,-0.0,-0.03
9.7,0.66,-2.85,0.33,-0.02,-0.03
9.69,0.64,-3.58,0.19,-0.02,-0.03
9.91,0.21,-1.22,0.02,0.02,-0.01
9.57,-0.35,-1.02,0.19,0.0,-0.03
9.87,0.51,-1.41,0.37,-0.04,-0.04
9.66,0.59,-2.49,0.28,0.01,-0.03
9.68,0.28,-3.19,0.05,-0.03,-0.02
9.63,0.19,-3.51,-0.39,-0.05,0.0
9.73,0.49,-1.54,-0.71,-0.04,0.01
9.83,0.23,0.16,-0.75,-0.04,0.01
9.86,-0.12,1.43,-0.68,-0.04,0.01
9.88,-0.36,2.38,-0.52,-0.05,0.0
9.87,-0.52,2.68,-0.33,-0.03,-0.0
9.91,-0.33,2.38,-0.12,-0.02,-0.01
9.83,-0.04,0.71,-0.01,-0.03,-0.02
9.79,0.12,-0.03,-0.03,-0.03,-0.02
9.84,0.05,-0.06,-0.07,-0.03,-0.01
9.8,0.13,0.12,-0.1,-0.02,-0.01
9.85,0.36,0.03,-0.08,-0.02,-0.01
9.8,0.56,-0.2,-0.06,-0.01,-0.01
9.82,0.84,-0.65,-0.08,-0.01,-0.01
9.88,1.68,-0.13,-0.07,-0.01,-0.0
9.73,1.86,-0.45,-0.02,-0.01,-0.01
9.82,1.76,-0.99,-0.02,-0.01,-0.02
9.77,1.24,-1.1,-0.1,-0.02,-0.03
9.85,0.24,-1.05,-0.16,-0.02,-0.02
9.8,-0.88,-0.73,-0.21,-0.01,-0.02
9.81,-1.69,-0.13,-0.22,-0.02,-0.01
9.89,-2.32,0.5,-0.15,-0.02,-0.01
9.84,-1.16,0.43,-0.06,-0.03,-0.01
9.82,-2.66,-0.59,-0.03,-0.03,-0.03
9.82,-1.81,-0.18,-0.03,-0.02,-0.02
9.87,-1.47,0.11,0.02,-0.02,-0.03
9.89,-1.07,0.17,0.1,-0.02,-0.02
9.92,-0.2,-0.25,0.16,-0.0,-0.02
9.83,0.49,-0.29,0.18,-0.02,-0.02
9.91,1.18,-0.29,0.17,-0.01,-0.02
9.84,1.47,-0.25,0.15,-0.01,-0.02
9.77,1.93,-0.42,0.13,-0.02,-0.01
9.79,2.51,-0.79,0.06,-0.02,-0.01
9.7,0.93,-0.54,-0.01,-0.01,-0.01
9.93,2.71,0.44,-0.08,-0.02,-0.0
9.71,1.91,0.41,0.01,-0.03,-0.03
9.77,1.39,0.07,0.07,-0.01,-0.02
9.8,1.0,-0.21,0.09,-0.01,-0.03
9.78,0.2,-0.51,0.12,-0.01,-0.03
9.86,-0.18,-1.02,0.07,-0.01,-0.03
9.73,-0.59,-1.2,-0.04,-0.01,-0.02
9.8,-1.32,-0.57,-0.15,-0.01,-0.02
9.82,-1.79,0.03,-0.15,-0.03,-0.01
9.84,-1.82,-0.04,-0.09,-0.04,-0.02
9.85,-0.38,-0.33,-0.04,-0.05,-0.02
9.76,-1.79,0.09,-0.01,-0.02,-0.01
9.88,-1.34,-0.06,0.1,0.0,-0.02
9.74,-1.26,-0.34,0.13,0.01,-0.02
9.76,-0.73,-0.42,0.13,-0.02,-0.02
9.83,-0.26,-0.36,0.12,-0.03,-0.02
9.73,0.5,-0.45,0.08,-0.02,-0.01
9.91,0.96,-0.37,0.03,-0.02,-0.02
9.85,1.21,0.0,-0.02,-0.02,-0.02
9.77,1.19,0.16,-0.05,-0.03,-0.01
9.81,1.06,0.23,-0.08,-0.03,-0.02
9.81,0.92,0.44,-0.12,-0.03,-0.01
9.91,0.68,1.35,-0.1,-0.02,-0.01
9.93,0.34,2.27,0.05,-0.01,-0.02
9.93,0.26,2.25,0.25,-0.02,-0.03
9.86,0.02,1.82,0.43,-0.0,-0.04
9.96,-0.03,0.94,0.53,0.01,-0.05
9.78,-0.18,0.18,0.55,-0.01,-0.05
9.86,-0.29,-0.44,0.52,0.01,-0.04
9.84,0.04,-0.59,0.54,0.01,-0.04
9.78,0.34,-1.13,0.51,0.01,-0.04
9.73,0.37,-1.3,0.47,-0.01,-0.04
9.79,0.35,-2.1,0.41,-0.01,-0.04
9.73,0.29,-2.54,0.3,-0.02,-0.03
9.7,0.2,-3.1,0.17,-0.01,-0.03
9.74,0.12,-2.92,0.01,-0.0,-0.02
9.84,0.36,-1.16,-0.02,0.01,-0.01
9.75,0.56,-1.39,0.06,0.02,-0.01
9.73,1.07,-2.49,0.07,-0.0,-0.02
9.66,1.53,-3.72,-0.14,-0.01,-0.01
9.8,1.36,-3.61,-0.42,-0.0,0.0
9.81,0.94,-2.81,-0.62,-0.02,0.0
9.72,0.55,-2.04,-0.77,-0.04,0.01
9.87,-0.21,-0.86,-0.83,-0.02,0.02
9.78,-0.73,-0.12,-0.79,-0.05,0.01
9.86,-1.21,0.45,-0.75,-0.02,0.01
9.8,-1.58,0.76,-0.68,-0.01,0.01
9.92,-1.92,1.47,-0.57,-0.03,0.01
9.96,-1.95,1.71,-0.42,-0.04,-0.0
9.87,-1.83,1.88,-0.27,-0.05,-0.01
9.88,-1.38,1.54,-0.16,-0.03,-0.01
9.9,-0.94,0.8,-0.08,-0.06,-0.02
9.83,-0.6,0.71,-0.07,-0.04,-0.02
9.79,-0.35,0.8,-0.06,-0.05,-0.02
9.82,-0.26,1.1,-0.03,-0.06,-0.02
9.91,0.0,1.12,0.02,-0.04,-0.02
9.92,0.07,1.07,0.07,-0.02,-0.02
9.96,0.18,1.08,0.11,-0.01,-0.02
9.92,0.24,1.01,0.16,-0.01,-0.02
9.93,0.27,0.91,0.22,-0.01,-0.02
9.87,0.38,0.86,0.28,-0.01,-0.03
9.84,0.4,0.91,0.34,-0.01,-0.03
9.81,0.58,0.72,0.38,-0.01,-0.03
9.81,0.68,0.9,0.46,-0.0,-0.04
9.87,0.73,0.6,0.56,0.0,-0.04
9.88,0.89,-0.16,0.62,0.01,-0.05
9.77,1.01,-0.97,0.59,0.0,-0.04
9.83,1.0,-1.22,0.47,0.01,-0.04
9.85,0.89,-1.07,0.4,-0.0,-0.03
9.76,0.77,-0.65,0.35,0.0,-0.03
9.73,0.92,-0.69,0.35,0.0,-0.03
9.78,0.95,-0.85,0.34,-0.0,-0.03
9.77,0.87,-0.84,0.34,-0.01,-0.03
9.89,0.94,-1.06,0.33,-0.03,-0.03
9.72,0.91,-1.14,0.28,-0.01,-0.03
9.8,1.01,-1.08,0.23,-0.01,-0.03
9.78,1.05,-1.09,0.17,-0.01,-0.03
9.81,1.29,-0.86,0.13,-0.01,-0.03
9.84,1.01,-0.86,0.12,-0.01,-0.03
9.74,0.95,-1.25,0.11,-0.02,-0.03
9.85,0.61,-1.4,0.07,-0.01,-0.03
9.8,0.28,-1.63,-0.0,-0.01,-0.03
9.83,0.02,-1.63,-0.11,-0.02,-0.02
9.79,-0.21,-1.25,-0.2,0.01,-0.01
9.79,-0.38,-0.83,-0.25,0.01,-0.0
9.77,-0.58,-0.68,-0.26,-0.0,-0.0
9.83,-0.44,-0.83,-0.26,0.0,0.0
9.81,-0.43,-0.97,-0.26,0.01,-0.0
9.81,-0.43,-1.03,-0.29,0.0,0.0
9.79,-0.49,-0.76,-0.3,0.01,-0.0
9.78,-0.43,-0.82,-0.29,-0.01,-0.01
9.82,-0.42,-0.73,-0.32,-0.01,-0.01
9.78,-0.4,-0.51,-0.33,-0.01,-0.01
9.76,-0.47,-0.62,-0.34,-0.02,-0.0
9.89,-0.51,-0.54,-0.37,-0.01,-0.01
9.84,-0.62,-0.67,-0.41,-0.0,-0.01
9.68,-0.66,-0.21,-0.47,-0.04,-0.0
9.85,-0.85,0.26,-0.48,-0.04,0.0
9.86,-1.09,0.79,-0.46,-0.04,-0.0
9.91,-1.24,1.24,-0.37,-0.05,-0.01
9.85,-1.17,1.0,-0.28,-0.05,-0.01
9.84,-0.95,0.6,-0.21,-0.04,-0.01
9.87,-0.76,0.6,-0.17,-0.05,-0.01
9.78,-0.6,0.4,-0.15,-0.05,-0.01
9.84,-0.5,0.31,-0.13,-0.03,-0.01
9.84,-0.47,0.34,-0.11,-0.05,-0.01
9.88,-0.28,0.24,-0.07,-0.06,-0.01
9.83,-0.11,0.32,-0.04,-0.07,-0.02
9.87,0.05,0.28,0.01,-0.07,-0.02
9.86,0.16,-0.04,0.05,-0.05,-0.02
9.85,0.17,-0.21,0.05,-0.04,-0.02
9.81,0.36,-0.15,0.04,-0.02,-0.02
9.91,0.49,0.14,0.06,-0.03,-0.02
9.81,0.42,0.09,0.09,-0.02,-0.02
9.84,0.6,0.03,0.1,-0.02,-0.02
9.8,0.61,0.34,0.11,-0.01,-0.02
9.83,0.82,0.36,0.15,-0.02,-0.02
9.86,1.02,0.25,0.18,-0.02,-0.02
9.76,1.14,0.27,0.2,-0.02,-0.03
9.87,1.19,0.48,0.22,-0.02,-0.03
9.9,1.1,1.26,0.31,-0.01,-0.03
9.85,0.91,2.01,0.48,-0.0,-0.04
9.82,0.8,1.37,0.68,0.0,-0.05
9.83,0.93,-0.1,0.77,0.01,-0.05
9.83,0.84,-0.97,0.7,0.0,-0.05
9.75,0.69,-1.22,0.58,-0.0,-0.04
9.76,0.62,-1.44,0.44,0.0,-0.04
9.68,0.4,-1.16,0.33,-0.01,-0.03
9.8,0.33,-1.01,0.27,-0.01,-0.03
9.79,0.34,-1.19,0.25,-0.01,-0.03
9.76,0.11,-1.96,0.24,0.0,-0.03
9.76,-0.32,-2.72,0.17,-0.0,-0.02
9.77,-0.72,-1.96,0.08,0.01,-0.01
9.81,-0.96,-1.21,0.11,0.02,-0.01
9.72,-0.56,-1.88,0.19,-0.0,-0.02
9.67,0.05,-3.94,0.05,-0.03,-0.01
9.71,0.54,-4.26,-0.2,-0.03,-0.01
9.75,0.15,-4.14,-0.64,-0.03,0.01
9.67,0.11,-2.21,-0.83,-0.03,0.02
9.89,0.23,-1.77,-0.87,-0.04,0.01
10.07,0.3,-1.25,-0.9,-0.06,0.01
9.96,0.23,-0.67,-0.97,-0.06,0.02
9.76,0.0,0.6,-0.98,-0.06,0.01
9.89,-0.31,1.49,-0.92,-0.05,0.02
9.79,-0.47,2.21,-0.79,-0.07,0.01
9.91,-0.49,2.56,-0.65,-0.03,0.01
9.98,-0.51,2.49,-0.5,-0.03,0.0
9.89,-0.28,2.56,-0.33,-0.04,-0.0
9.89,-0.06,2.72,-0.18,-0.02,-0.01
9.86,0.07,2.44,-0.04,-0.02,-0.02
9.81,0.13,0.22,-0.03,-0.04,-0.02
9.88,0.94,-0.3,-0.08,-0.03,-0.01
9.86,1.06,0.02,-0.23,-0.03,-0.01
9.82,1.03,0.44,-0.29,-0.02,-0.0
